ID,Country,Code,Region_ID,IncomeType_ID
244,Lebanon,LBN,5,4
245,Lesotho,LSO,8,4
246,Liberia,LBR,8,3
247,Libya,LBY,5,5
248,Liechtenstein,LIE,3,2
249,Lithuania,LTU,3,2
250,Luxembourg,LUX,3,2
251,"Macao SAR, China",MAC,2,2
252,Madagascar,MDG,8,3
253,Malawi,MWI,8,3
254,Malaysia,MYS,2,5
255,Maldives,MDV,7,5
256,Mali,MLI,8,3
257,Malta,MLT,5,2
258,Marshall Islands,MHL,2,5
259,Mauritania,MRT,8,4
260,Mauritius,MUS,8,5
261,Mexico,MEX,4,5
262,"Micronesia, Fed. Sts.",FSM,2,4
263,Moldova,MDA,3,5
264,Monaco,MCO,3,2
265,Mongolia,MNG,2,5
266,Montenegro,MNE,3,5
267,Morocco,MAR,5,4
268,Mozambique,MOZ,8,3
269,Myanmar,MMR,2,4
270,World,WLD,1,1
271,Multi-City,MC,1,1
272,Virtual,VS,1,1
275,Africa,AF,1,1
