ID,IndicatorName,Lookup Paper,Comment
353,123,24,
354,123,11,
355,76,24,
357,127,25,
358,65,25,
359,56,25,
360,59,25,
361,27,26,
362,128,26,
363,57,26,
364,36,26,
365,46,26,
366,103,26,
367,74,26,
368,31,26,
369,5,27,
370,127,27,
371,14,27,
372,36,27,
374,117,27,
375,25,27,
376,2,27,
377,32,27,Turbidity and pH
378,54,27,
379,5,28,
380,126,28,
382,46,29,
383,36,29,
384,67,29,
385,126,29,
386,159,28,
387,159,29,
389,1,29,
390,24,29,
391,5,30,
392,70,30,
393,124,30,
394,126,30,
395,143,30,
396,72,30,
397,20,30,
398,32,30,"pH, Hardnessm Alkalinity, temperature, conductivity"
555,145,278,
556,135,278,
557,126,278,
558,127,340,
559,5,279,
560,149,279,
561,5,280,
562,123,280,
563,163,281,
564,159,281,
565,61,282,Measuyred as water stress
566,10,282,Measured as water stress
567,163,282,
568,147,282,
569,56,282,
570,5,286,
571,14,286,
572,36,286,
573,2,286,
574,54,286,
575,158,286,
576,158,27,
577,10,290,
578,32,290,"Turbidity, TSS, N, P"
579,54,291,
580,10,292,
581,10,293,
582,54,293,
583,31,293,
584,52,294,
585,19,294,
587,36,296,
588,46,296,
589,27,296,
590,74,296,
591,31,297,
592,117,297,
593,36,297,Measure as num. HH/Total HH
594,54,297,
595,46,297,
596,27,299,
597,74,300,
598,1,300,
599,40,300,
600,15,300,
601,27,300,
602,120,300,
603,5,302,
604,56,302,
605,70,302,
606,46,304,
607,54,304,
608,117,304,
609,31,305,
610,120,305,
611,56,305,
612,27,305,
613,73,305,
614,27,306,
615,54,306,
616,10,308,
617,5,308,
618,61,308,
619,56,308,
620,19,308,
621,27,308,
622,142,308,
623,8,309,
624,8,310,
625,71,311,
627,120,311,
628,127,311,
629,126,311,
630,59,312,
631,10,312,
632,46,320,
633,61,312,
634,36,312,
635,126,321,
636,61,321,
637,36,321,
638,10,322,
639,27,322,
640,104,322,
641,36,322,Measured as pop. With water
642,7,322,
653,27,326,
654,127,349,
655,126,349,
656,149,327,
658,10,327,
659,31,327,
660,147,350,
661,5,325,
662,61,325,
663,65,325,
664,15,324,
665,123,325,
666,59,326,
667,126,327,
668,95,327,
669,158,327,
670,5,328,
671,56,328,
672,143,330,
673,61,332,
674,54,333,
675,133,333,
676,126,334,
677,147,334,
678,70,334,Measured per m3
679,5,336,
680,10,336,
681,61,336,
682,31,337,
683,61,337,
684,56,339,
685,59,339,
686,65,339,
687,36,339,
688,147,339,
689,27,340,
175,33,12,
176,43,12,
177,42,12,
178,28,15,
180,31,12,
181,25,12,
182,32,12,
183,114,12,
184,115,12,
185,36,12,
186,116,12,
187,117,12,
188,118,12,
189,119,12,
190,46,12,
191,120,12,
192,67,6,
193,67,12,
195,58,5,
196,58,12,
197,121,12,
198,122,12,
199,123,12,
200,124,12,
201,125,12,
202,126,12,
203,127,12,
204,128,12,
205,130,12,
206,129,12,
207,131,12,
208,132,12,
209,73,12,
210,54,12,
211,134,12,
213,137,13,
214,61,13,Measured inversly
690,36,340,
691,10,340,
692,95,340,
699,10,345,
700,5,348,
701,36,356,
